disposition,period,duration,depth,radius,equilibrium_t,insolation,stellar_temp,stellar_radius,stellar_logg,midpoint,ra,dec,magnitude,distance,label
PC,12.9802953,2.5034417,2407.2608671,2.4241912,376.2093904,4.7341229,3614.0,0.491323,4.81257,2458627.915974,296.822194,-87.32281,12.0936,68.9109,1
KP,1.3484961,2.4074261,18463.7636682,15.8824638,1839.6713042,2706.9606225,6346.0,1.14759,4.38484,2458653.973305,268.890707,-61.7474,12.2851,494.182,2
PC,3.7178828,5.5277827,4864.8405125,14.6986197,1689.4116185,1925.1426172,5818.0,2.0840001,4.33787,2458655.291499,305.56982,-88.568495,12.2303,736.397,1
FP,9.30992,3.464,2220.0,14.2968,1067.0,215.208,6907.0,3.09,3.63,2458630.77194,238.001011,-76.49349,9.4142,416.25,0
FP,4.73703,3.902,2410.0,25.7144,4243.0,53821.0,11600.0,2.48,4.13,2458643.10264,228.84306,-52.885989,10.3918,778.127,0
KP,2.76676,2.6872178,14947.4387827,12.2867389,1209.5741229,505.8840075,5346.0,0.984866,4.48823,2458326.127479,313.215475,-25.687376,13.2366,513.011,2
FP,2.19296,4.586,4933.74,22.7769,3722.0,31883.5,7009.8,2.95,3.6,2458628.96316,242.016315,-68.588832,10.0196,566.502,0
PC,1.725841,3.674,2710.0,15.0024,4175.0,50469.2,7348.0,2.39,3.9,2459359.55521,222.101134,-56.025931,9.3529,321.671,1
FP,1.1923,3.119,3730.0,30.666,3958.0,40771.2,6534.0,2.04,3.95,2458601.38096,217.022882,-64.634285,9.0039,209.919,0
FP,11.47606,6.083,3050.0,10.504179950000001,1175.80398775,355.909,5788.7,1.23,4.33418,2458601.33791,215.805264,-63.045983,10.0067,1710.22,0
PC,1.4821386,2.1867078,2102.6568299,13.7339261,2962.2418039,18197.1354531,7066.0,2.6647301,3.78,2459307.385949,133.968965,-75.926187,10.4291,582.521,1
FP,0.9209526,1.8602735,360.8801529,5.7349089,3430.7622437,32740.3629399,6553.0,2.8908899,3.65,2459307.93577,133.826684,-73.173308,10.11,490.288,0
CP,9.188506,2.492,460.0,2.16591,786.0,63.4589,5876.0,0.98,4.48,2459376.410518,189.775859,-74.57402,8.7215,79.5561,2
CP,13.9028391,2.1264429,647.2701039,2.6136848,756.6987586,77.4841883,5876.0,0.983215,4.48,2459344.461827,189.775859,-74.57402,8.7215,79.5561,2
CP,10.1826983,2.8275109,667.4752458,3.0538057,957.1991659,198.394783,6153.0,1.14582,4.34814,2458629.909082,192.589285,-88.121111,8.7581,105.096,2
CP,6.441006,1.812,914.0,2.56374,853.0,87.8902,4867.0,0.8,4.438,2460140.220927,328.718171,-77.338802,7.3661,23.606,2
KP,3.1743504,2.751086,15457.3247576,14.9172256,1320.6518234,718.9096994,5943.0,1.15706,4.42524,2458328.039934,5.618525,-59.942589,11.6714,342.14,2
FP,20.0731588,3.8449215,1152.9645461,4.0506906,736.1368293,69.3993155,6033.0,1.14849,4.37,2459044.494531,9.126138,-83.567067,10.5135,205.43,0
FP,2.66903,1.548,3110.0,9.36823,1268.0,429.86,5803.5,1.56,4.07,2459058.79277,319.551469,-77.529113,10.5891,262.794,0
FP,6.63371,2.122,1555.34,2.75375,610.0,22.9987,4138.1,0.63,4.54,2458627.80423,263.003209,-76.858265,10.5652,58.0624,0
